0,0.685019,0.530317,0,0,
0.05,0.777038,0.615102,1.19577,1.11925,
0.1,0.79944,0.581457,1.76946,0.369165,
0.15,0.909575,0.576261,2.13976,0.161102,
0.2,0.979778,0.683705,1.70646,0.828294,
0.25,1.13727,0.661411,2.04337,0.36431,
0.3,1.2616,0.671388,2.10628,0.286113,
0.35,1.38308,0.619139,2.19745,0.0219936,
0.4,1.49564,0.598006,2.22465,-0.0514108,
0.45,1.61089,0.591104,2.16354,-0.0975396,
0.5,1.69403,0.61077,2.11084,0.000428901,
0.55,1.80279,0.610628,2.06209,-0.0225163,
0.6,1.89525,0.515873,2.07331,-0.285217,
0.65,2.00411,0.507874,2.11044,-0.262491,
0.7,2.08906,0.552015,2.06746,-0.0863307,
0.75,2.2218,0.566669,2.39668,0.0254531,
0.8,2.33196,0.608768,2.37402,0.146754,
0.85,2.42498,0.619194,2.29409,0.15721,
0.9,2.52577,0.674004,2.26111,0.295727,
0.95,2.64828,0.676593,2.34333,0.273595,
1,2.76863,0.632561,2.36143,0.110701,
1.05,2.88514,0.640617,2.38022,0.122965,
1.1,2.98886,0.679014,2.3467,0.217503,
1.15,3.09569,0.685958,2.24253,0.190807,
1.2,3.18478,0.764881,2.18823,0.389114,
1.25,3.30458,0.772718,2.29484,0.374287,
1.3,3.42875,0.735526,2.32352,0.218735,
1.35,3.55969,0.751505,2.33831,0.226523,
1.4,3.68558,0.628962,2.37808,-0.140908,
1.45,3.74681,0.640934,1.98834,-0.11832,
1.5,3.8764,0.666589,2.03988,-0.0375364,
1.55,3.99986,0.6747,2.15239,-0.00179477,
1.6,4.08238,0.704496,2.1036,0.0838673,
1.65,4.17932,0.705952,2.13513,0.0853098,
1.7,4.29005,0.749956,2.13763,0.192356,
1.75,4.38096,0.77336,2.03457,0.220845,
1.8,4.42189,0.878648,1.9107,0.485765,
1.85,4.55681,0.909361,2.17824,0.535796,
1.9,4.65532,0.886593,2.16794,0.405296,
1.95,4.77876,0.910124,2.10507,0.393755,
2,4.90857,0.925514,2.15103,0.377444,
2.05,5.03828,0.944516,2.36249,0.406042,
2.1,5.19203,0.946494,2.43098,0.35053,
2.15,5.25825,0.962563,2.09409,0.313875,
2.2,5.3574,1.06156,2.07122,0.5369,
2.25,5.45195,1.09603,1.92746,0.53325,
2.3,5.53227,1.2285,1.87962,0.816915,
2.35,5.61442,1.25708,1.9222,0.801114,
2.4,5.71728,1.34222,1.92519,0.918574,
2.45,5.80717,1.3747,1.90869,0.882132,
2.5,5.90188,1.42949,1.90489,0.910309,
2.55,5.99906,1.47016,1.924,0.900693,
2.6,6.10354,1.5039,1.94209,0.869348,
2.65,6.17827,1.54375,1.77365,0.831565,
2.7,6.26496,1.62728,1.76022,0.941772,
2.75,6.33496,1.66339,1.54373,0.865555,
2.8,6.39406,1.69098,1.5138,0.828382,
2.85,6.48003,1.73597,1.72945,0.890084,
2.9,6.64998,1.74673,1.89332,0.784802,
2.95,6.70695,1.77585,1.67219,0.724784,
3,6.77295,1.75584,1.65248,0.581499,
3.05,6.88223,1.80067,1.83974,0.654786,
3.1,6.94077,1.9179,1.75911,0.882037,
3.15,7.03481,1.97397,1.83044,0.930405,
3.2,7.17375,1.97794,1.92897,0.809975,
3.25,7.22977,2.01971,1.65722,0.767308,
3.3,7.31745,2.07712,1.66169,0.815855,
3.35,7.41526,2.1207,1.61617,0.798883,
3.4,7.48283,2.19793,1.58234,0.898443,
3.45,7.55992,2.24265,1.6511,0.92033,
3.5,7.58822,2.31104,1.54369,0.990268,
3.55,7.6501,2.35047,1.44656,0.94509,
3.6,7.68017,2.40311,1.36561,0.968737,
3.65,7.75906,2.453,1.53713,1.01919,
3.7,7.83677,2.58457,1.51683,1.22642,
3.75,7.90479,2.63788,1.39432,1.16948,
3.8,8.01362,2.81358,1.43477,1.4602,
3.85,8.03541,2.85519,1.01065,1.26626,
3.9,8.08215,3.03241,0.968229,1.55735,
3.95,8.1443,3.12441,1.14657,1.65273,
4,8.20895,3.22504,1.15471,1.69623,
4.05,8.25692,3.29453,1.05621,1.62423,
4.1,8.27753,3.31954,1.0132,1.49171,
4.15,8.31957,3.39089,0.96537,1.47236,
4.2,8.36761,3.38329,0.992808,1.26788,
4.25,8.43572,3.4623,1.15358,1.3574,
4.3,8.42237,3.60684,0.990782,1.57025,
4.35,8.47942,3.69485,0.925744,1.55791,
4.4,8.56222,3.8218,0.979484,1.67092,
4.45,8.60185,3.89738,0.938518,1.64148,
4.5,8.59998,4.04062,0.820911,1.8083,
4.55,8.62134,4.11264,0.583041,1.66579,
4.6,8.66862,4.15869,0.632889,1.56801,
4.65,8.67903,4.23133,0.50916,1.51824,
4.7,8.67649,4.35674,0.435017,1.64929,
4.75,8.70514,4.44357,0.497673,1.68475,
4.8,8.73115,4.54864,0.491754,1.73573,
4.85,8.73814,4.61956,0.309086,1.61778,
4.9,8.77654,4.68518,0.361033,1.57313,
4.95,8.77302,4.75637,0.249303,1.52201,
5,8.73468,4.97257,0.0912586,1.88106,
